0,로터,200,
1,바이브,500,
2,E마사지기,2000,
3,애널바이브,5000,
4,페니스밴드,2000,
5,아이마스크,4000,
6,비디오카메라,7000,
7,클리캡,2000,
8,니플캡,3000,
9,볼개그,1000,
10,채찍,200,
11,바늘,2000,
12,오나홀,4000,
13,플레이매트,5000,;목욕탕 플레이 확대
14,밧줄,3000,
15,관장기+플러그,8000,
16,큰거울,30000,;수치 플레이가 가능해진다
17,착유기,1500,
18,촬영세트・기초,5000,;야외 플레이가 가능해진다
19,코스프레의상,20000,;새신부 플레이가 가능해진다
20,애널비즈,700,
21,전극플러그,50000,
22,개,150000000,
23,본디지,10000,;조수전용

24,콘돔,10,;흔한 피임구. 피임 효과는 확실하나 일회용
25,로션,200,
26,프린세스포이즌,2000,;다른 era시리즈의 음약
27,이뇨제,1000,
;28,비디오테이프,500,;비디오 카메라에 사용, 일회용
29,싸인펜,100,

30,영양제,1000,;체력을 300회복
31,향,3000,;부정의 구슬을 반감한다
;33,WG배터리,100000,;캐릭터의 수명을 늘린다
34,피어스링,5000,;캐릭터에게 피어스를 단다

37,러브스코프,1000,;조교대상의 호감도가 표시된다
38,부스터메일,100000,;마스터에게 매혹이 붙는다
39,【비밀지식】,200000,;마스터에게 비밀지식이 붙는다

40,배란유발제,2000,;임신시킬때 사용
41,강모제,2000,;음모를 자라게한다

42,【조합지식】,50000,;마스터에게 조합지식이 붙는다
43,배란억제제,50000,

52,【기교Lv】,5000,;마스터의 기교가 상승

60,코스프레의상・라이트노벨팩,90000
61,코스프레의상・아니메팩,50000
62,코스프레의상・망가팩,70000
63,코스프레의상・미소녀게임팩,80000
90,촉수생물,1000000
91,파란마술서,1000000


;게임에 등장하는 조교가능 캐릭터 리스트,
;가치 0인 캐릭터는 데이터 미작성,
;표시할 가치는 게임에서 등장할때,
;SYSTEM.ERB의 @EVENTFIRST에서 FLAG:10xx입력할 수치와 동일하게,

100,미야마 카나데,500
101,사사키 미노리,500
102,쿠루메 사에,300
103,이이노 미키,1000
104,와타라이 키쿄우,500
105,칸다 히요리,700
106,타타라 히나,1000
107,타타라 유나,1000
108,레이첼・파라디수스,50000
109,키류 카논,50000
110,스노 이쿠미,20000
111,고토 미츠키,600
112,사카키 아유무,1000
113,미츠루 이즈키,5000
114,히나미 하루노,1000
115,미사키 에리카,700
116,미야마 미이,250000
117,렌카・록웰,8000
118,히토미쨩,100
119,아카바 마리,600
120,하세가와 미나토,500
121,오리베 마나카,500
122,아마미 루이,700
123,테라모토 유카리,3000
124,미카미 키요카,4000
125,시미즈 사쿠라코,40000
126,토모요시 아야노,12000
127,사쿠라이 프리실라,4000
128,아오이 하루카,2000
129,후미노 유즈카,3000
130,시라나미 유카리,1500
131,아이다 엘레나,2000
132,아이다 알리사,1000
133,나카지마 하즈키,3000
134,오리베 나츠미,4000
135,카와기시 아사히,500
136,아키나 미레이,1500
137,야미자키 린코,200000
138,코히나타 시오리,700
139,쇼우노 소라,18000
140,하뉴 리사,7500
141,후지카와 리에,10000
142,아이바 세리나,7500
143,타카기 사오리,700
144,미요시 유카코,500
145,타카나시 오토하,1500
146,미즈모리 유키나,2000
150,【구인광고】,300


200,마술식로터,500
201,마술식바이브,500
202,마술식E마사지,500
203,마술식애널바이브,500
204,마술식클리캡,500
205,마술식유두캡,500
206,고성능채찍,500
207,고성능바늘,500
208,피로회복용입욕제,500
209,살아있는밧줄,500
210,마술식착유기,500
211,에이프런,500
212,마술식애널비즈,500
213,마술식삼각목마,500
214,마술식오나홀,500
