;-------------------------------------------------,
;0-9 愛撫系コマンド,
;-------------------------------------------------,
0,애무
1,커닐링구스
2,애널애무
3,자위
4,펠라한다
5,가슴애무
6,키스한다
7,조개벌리기
8,손가락삽입
9,애널핥기

;-------------------------------------------------,
;10-19 道具使用コマンド,
;-------------------------------------------------,
10,로터
11,바이브
12,E마사지기
13,애널바이브
14,클리캡
15,니플캡
16,착유기
17,오나홀
18,샤워
19,애널스틱

;-------------------------------------------------,
;20-29 セックス系コマンド,
;-------------------------------------------------,
20,정상위
21,후배위
22,대면좌위
23,배면좌위
24,역강간
25,역애널강간
26,정상위애널
27,후배위애널
28,대면좌위애널
29,배면좌위애널

;-------------------------------------------------,
;30-39 奉仕系コマンド,
;-------------------------------------------------,
30,수음
31,펠라치오
32,파이즈리
33,스마타
34,기승위
35,거품춤
36,기승위애널
37,애널봉사
38,풋잡
39,오나홀애무

;-------------------------------------------------,
;40-49 SM系コマンド,
;-------------------------------------------------,
40,스팽킹
41,채찍
42,바늘
43,아이마스크
44,밧줄
45,볼개그
46,관장기+플러그
47,본디지 착용
48,풋잡한다
49,애널전극

;-------------------------------------------------,
;50-59 特殊コマンド,
;-------------------------------------------------,
50,로션
51,프린세스포이즌
52,이뇨제
53,비디오카메라
54,촬영세트변경
55,아무것도 안한다
56,대화한다
57,수치 플레이,
58,목욕탕 플레이,
59,코스프레,

;-------------------------------------------------,,
;60-79 助手によるコマンド, 及びレズプレイ,,
;-------------------------------------------------,,
60,조수한테키스,
61,커닐링구스강제,
62,조수를 범한다,
63,조개맞대기,
;64,3P,
65,조수를 범하게 한다,
66,두개 펠라,
68,더블 펠라,
;69,식스나인,;フェラ強制or커닐링구스강제→커닐링구스, フェラあるいはその逆で自動発動

;70,더블스마타
71,더블 파이즈리
;72,
;73,유두 맞대기

;-------------------------------------------------,
;80-89 ハードな調教コマンド,
;-------------------------------------------------,
80,이라마치오
81,피스트퍽
82,애널피스트
83,양구멍피스트
;84,G스팟자극
85,방뇨
;86,음뇨
87,피어싱
88,제모
89,수간 플레이
;-------------------------------------------------,
;90-99 아이템派生系コマンド,
;-------------------------------------------------,
90,로터자위
91,전동마사지기자위
92,유두로터
;93,身体に落書き
;-------------------------------------------------,
;100-109 촉수系コマンド,
;-------------------------------------------------,
100,촉수생물
101,촉수 삽입
102,애널촉수
103,촉수 클리자극
104,촉수 유두자극
105,촉수 착유
106,촉수 긴박
107,촉수 관장
108,촉수 구욕
109,촉수페니스자극

;-------------------------------------------------,
;110-111 着衣・脱衣関連コマンド,
;-------------------------------------------------,
110,갈아입히기
;111,옷을 찢는다

;-------------------------------------------------,
;120- 追加コマンド,
;-------------------------------------------------,
;120,삽입G스팟자극
;121,삽입자궁구자극
122,투구비비기
;123,파이즈리펠라
;124,딥스로트
;125,펠라자위
;126,수음펠라
;127,바큠펠라
;128,정상위・키스
;129,정상위・가슴애무
;130,정상위SP
;131,후배위・가슴애무
;132,후배위・스팽킹
;133,서서삽입
;134,후배위SP
135,안면기승 플레이
136,칭찬한다
137,삼각목마
;138,수음애널핥기

140,콘돔정음
141,나이즈리
142,세로파이즈리
143,가슴구멍
144,배빵
;-------------------------------------------------,
;150-159 슬라임系コマンド,
;-------------------------------------------------,
150,슬라임 생성
151,슬라임 질내진입
152,슬라임 항문진입
153,슬라임자위
154,슬라임 구욕

180,구현
