characterId	family	index	value	sourcePath	line
0	BASE	0	3000	original-game/CSV/Chara0.csv	4
0	BASE	1	3000	original-game/CSV/Chara0.csv	5
0	BASE	2	10000	original-game/CSV/Chara0.csv	6
0	BASE	31	100	original-game/CSV/Chara0.csv	7
0	BASE	9	16	original-game/CSV/Chara0.csv	8
0	BASE	11	5	original-game/CSV/Chara0.csv	9
0	BASE	12	5	original-game/CSV/Chara0.csv	10
0	BASE	50	15	original-game/CSV/Chara0.csv	11
0	BASE	60	10	original-game/CSV/Chara0.csv	12
0	ABL	12	2	original-game/CSV/Chara0.csv	13
0	TALENT	1	1	original-game/CSV/Chara0.csv	14
0	TALENT	2	1	original-game/CSV/Chara0.csv	15
0	TALENT	122	1	original-game/CSV/Chara0.csv	16
0	TALENT	162	1	original-game/CSV/Chara0.csv	17
0	RELATION	1	150	original-game/CSV/Chara0.csv	18
0	RELATION	2	150	original-game/CSV/Chara0.csv	19
0	RELATION	80	300	original-game/CSV/Chara0.csv	20
0	CFLAG	16	-1	original-game/CSV/Chara0.csv	21
0	CFLAG	21	3001	original-game/CSV/Chara0.csv	22
0	CFLAG	22	3091	original-game/CSV/Chara0.csv	23
0	CFLAG	611	2	original-game/CSV/Chara0.csv	24
0	CFLAG	609	1	original-game/CSV/Chara0.csv	25
0	CFLAG	41	17	original-game/CSV/Chara0.csv	26
0	CFLAG	170	1	original-game/CSV/Chara0.csv	27
0	CFLAG	171	1	original-game/CSV/Chara0.csv	28
0	CFLAG	176	10	original-game/CSV/Chara0.csv	29
0	CFLAG	177	19	original-game/CSV/Chara0.csv	30
1	BASE	0	2000	original-game/CSV/Chara01_宮間かなで.csv	5
1	BASE	1	1200	original-game/CSV/Chara01_宮間かなで.csv	6
1	BASE	30	100	original-game/CSV/Chara01_宮間かなで.csv	7
1	BASE	31	120	original-game/CSV/Chara01_宮間かなで.csv	8
1	BASE	9	15	original-game/CSV/Chara01_宮間かなで.csv	9
1	BASE	11	3	original-game/CSV/Chara01_宮間かなで.csv	10
1	BASE	12	3	original-game/CSV/Chara01_宮間かなで.csv	11
1	BASE	13	3	original-game/CSV/Chara01_宮間かなで.csv	12
1	BASE	20	156	original-game/CSV/Chara01_宮間かなで.csv	13
1	BASE	21	41	original-game/CSV/Chara01_宮間かなで.csv	14
1	BASE	22	81	original-game/CSV/Chara01_宮間かなで.csv	15
1	BASE	23	55	original-game/CSV/Chara01_宮間かなで.csv	16
1	BASE	24	87	original-game/CSV/Chara01_宮間かなで.csv	17
1	ABL	0	1	original-game/CSV/Chara01_宮間かなで.csv	18
1	ABL	1	1	original-game/CSV/Chara01_宮間かなで.csv	19
1	ABL	10	3	original-game/CSV/Chara01_宮間かなで.csv	20
1	ABL	16	2	original-game/CSV/Chara01_宮間かなで.csv	21
1	ABL	71	1	original-game/CSV/Chara01_宮間かなで.csv	22
1	ABL	73	2	original-game/CSV/Chara01_宮間かなで.csv	23
1	ABL	50	5	original-game/CSV/Chara01_宮間かなで.csv	24
1	ABL	51	2	original-game/CSV/Chara01_宮間かなで.csv	25
1	ABL	52	7	original-game/CSV/Chara01_宮間かなで.csv	26
1	EXP	2	1	original-game/CSV/Chara01_宮間かなで.csv	27
1	EXP	10	10	original-game/CSV/Chara01_宮間かなで.csv	28
1	EXP	61	30	original-game/CSV/Chara01_宮間かなで.csv	29
1	EXP	71	10	original-game/CSV/Chara01_宮間かなで.csv	30
1	EXP	122	35	original-game/CSV/Chara01_宮間かなで.csv	31
1	TALENT	0	1	original-game/CSV/Chara01_宮間かなで.csv	32
1	TALENT	2	1	original-game/CSV/Chara01_宮間かなで.csv	33
1	TALENT	13	1	original-game/CSV/Chara01_宮間かなで.csv	34
1	TALENT	14	1	original-game/CSV/Chara01_宮間かなで.csv	35
1	TALENT	24	1	original-game/CSV/Chara01_宮間かなで.csv	36
1	TALENT	27	1	original-game/CSV/Chara01_宮間かなで.csv	37
1	TALENT	30	1	original-game/CSV/Chara01_宮間かなで.csv	38
1	TALENT	35	1	original-game/CSV/Chara01_宮間かなで.csv	39
1	TALENT	40	1	original-game/CSV/Chara01_宮間かなで.csv	40
1	TALENT	60	1	original-game/CSV/Chara01_宮間かなで.csv	41
1	TALENT	63	1	original-game/CSV/Chara01_宮間かなで.csv	42
1	TALENT	70	1	original-game/CSV/Chara01_宮間かなで.csv	43
1	TALENT	102	1	original-game/CSV/Chara01_宮間かなで.csv	44
1	TALENT	105	1	original-game/CSV/Chara01_宮間かなで.csv	45
