labelId	label	rawLabel	scope	kind	path	area	line	encoding	incomingStaticCalls	outgoingCalls	entryKind
original-game/ERB/TIPS関係/TESTMODE.ERB:1:TESTMODE	TESTMODE	TESTMODE		global	original-game/ERB/TIPS関係/TESTMODE.ERB	TIPS関係	1	utf-8-sig	1	0	
original-game/ERB/TIPS関係/TIPS.ERB:4:TIPS_MAIN	TIPS_MAIN	TIPS_MAIN		global	original-game/ERB/TIPS関係/TIPS.ERB	TIPS関係	4	utf-8-sig	9	11	
original-game/ERB/TIPS関係/TIPS.ERB:20:TIPS_MAIN$INPUT_LOOP	INPUT_LOOP	$INPUT_LOOP	TIPS_MAIN	local	original-game/ERB/TIPS関係/TIPS.ERB	TIPS関係	20	utf-8-sig	1	0	local
original-game/ERB/TIPS関係/TIPS.ERB:50:TIPS_MISSION	TIPS_MISSION	TIPS_MISSION		global	original-game/ERB/TIPS関係/TIPS.ERB	TIPS関係	50	utf-8-sig	1	1	
original-game/ERB/TIPS関係/TIPS.ERB:84:TIPS_ACHIEVEMENT	TIPS_ACHIEVEMENT	TIPS_ACHIEVEMENT		global	original-game/ERB/TIPS関係/TIPS.ERB	TIPS関係	84	utf-8-sig	1	1	
original-game/ERB/TIPS関係/TIPS.ERB:178:TIPS_HINT	TIPS_HINT	TIPS_HINT		global	original-game/ERB/TIPS関係/TIPS.ERB	TIPS関係	178	utf-8-sig	1	1	
original-game/ERB/TIPS関係/TIPS.ERB:297:TIPS_EXTRACHARA	TIPS_EXTRACHARA	TIPS_EXTRACHARA		global	original-game/ERB/TIPS関係/TIPS.ERB	TIPS関係	297	utf-8-sig	1	1	
original-game/ERB/TIPS関係/TIPS.ERB:361:TIPS_PREGNANCY	TIPS_PREGNANCY	TIPS_PREGNANCY		global	original-game/ERB/TIPS関係/TIPS.ERB	TIPS関係	361	utf-8-sig	1	1	
original-game/ERB/TIPS関係/TIPS_BEAUTY.ERB:4:TIPS_BEAUTY	TIPS_BEAUTY	TIPS_BEAUTY		global	original-game/ERB/TIPS関係/TIPS_BEAUTY.ERB	TIPS関係	4	utf-8-sig	6	7	
original-game/ERB/TIPS関係/TIPS_BEAUTY.ERB:15:TIPS_BEAUTY$INPUT_LOOP	INPUT_LOOP	$INPUT_LOOP	TIPS_BEAUTY	local	original-game/ERB/TIPS関係/TIPS_BEAUTY.ERB	TIPS関係	15	utf-8-sig	1	0	local
