path	area	line	sourceLabelId	sourceLabel	kind	targetRaw	targetLabel	resolution	resolvedTargetIds	resolvedTargets	dynamicPattern	dynamicCandidateCount	text
original-game/ERB/TIPS関係/TIPS.ERB	TIPS関係	8	original-game/ERB/TIPS関係/TIPS.ERB:4:TIPS_MAIN	TIPS_MAIN	CALL	SERIHU_FULLCOLOR	SERIHU_FULLCOLOR	resolved	original-game/ERB/組み込み関数/FUNCTIONS.ERB:72:SERIHU_FULLCOLOR	SERIHU_FULLCOLOR@original-game/ERB/組み込み関数/FUNCTIONS.ERB:72		0	"CALL SERIHU_FULLCOLOR,""※改修中です"",0xCCFFCC"
original-game/ERB/TIPS関係/TIPS.ERB	TIPS関係	24	original-game/ERB/TIPS関係/TIPS.ERB:4:TIPS_MAIN	TIPS_MAIN	CALL	TIPS_CHARACLEAR	TIPS_CHARACLEAR	resolved	original-game/ERB/TIPS関係/TIPS_CHARACLEAR.ERB:4:TIPS_CHARACLEAR	TIPS_CHARACLEAR@original-game/ERB/TIPS関係/TIPS_CHARACLEAR.ERB:4		0	CALL TIPS_CHARACLEAR
original-game/ERB/TIPS関係/TIPS.ERB	TIPS関係	26	original-game/ERB/TIPS関係/TIPS.ERB:4:TIPS_MAIN	TIPS_MAIN	CALL	TIPS_TALENT	TIPS_TALENT	resolved	original-game/ERB/TIPS関係/TIPS_TALENT.ERB:4:TIPS_TALENT	TIPS_TALENT@original-game/ERB/TIPS関係/TIPS_TALENT.ERB:4		0	CALL TIPS_TALENT
original-game/ERB/TIPS関係/TIPS.ERB	TIPS関係	28	original-game/ERB/TIPS関係/TIPS.ERB:4:TIPS_MAIN	TIPS_MAIN	CALL	TIPS_BEAUTY	TIPS_BEAUTY	resolved	original-game/ERB/TIPS関係/TIPS_BEAUTY.ERB:4:TIPS_BEAUTY	TIPS_BEAUTY@original-game/ERB/TIPS関係/TIPS_BEAUTY.ERB:4		0	CALL TIPS_BEAUTY
original-game/ERB/TIPS関係/TIPS.ERB	TIPS関係	30	original-game/ERB/TIPS関係/TIPS.ERB:4:TIPS_MAIN	TIPS_MAIN	CALL	TIPS_MISSION	TIPS_MISSION	resolved	original-game/ERB/TIPS関係/TIPS.ERB:50:TIPS_MISSION	TIPS_MISSION@original-game/ERB/TIPS関係/TIPS.ERB:50		0	CALL TIPS_MISSION
original-game/ERB/TIPS関係/TIPS.ERB	TIPS関係	32	original-game/ERB/TIPS関係/TIPS.ERB:4:TIPS_MAIN	TIPS_MAIN	CALL	TIPS_ACHIEVEMENT	TIPS_ACHIEVEMENT	resolved	original-game/ERB/TIPS関係/TIPS.ERB:84:TIPS_ACHIEVEMENT	TIPS_ACHIEVEMENT@original-game/ERB/TIPS関係/TIPS.ERB:84		0	CALL TIPS_ACHIEVEMENT
original-game/ERB/TIPS関係/TIPS.ERB	TIPS関係	34	original-game/ERB/TIPS関係/TIPS.ERB:4:TIPS_MAIN	TIPS_MAIN	CALL	TIPS_HINT	TIPS_HINT	resolved	original-game/ERB/TIPS関係/TIPS.ERB:178:TIPS_HINT	TIPS_HINT@original-game/ERB/TIPS関係/TIPS.ERB:178		0	CALL TIPS_HINT
original-game/ERB/TIPS関係/TIPS.ERB	TIPS関係	36	original-game/ERB/TIPS関係/TIPS.ERB:4:TIPS_MAIN	TIPS_MAIN	CALL	TIPS_EXTRACHARA	TIPS_EXTRACHARA	resolved	original-game/ERB/TIPS関係/TIPS.ERB:297:TIPS_EXTRACHARA	TIPS_EXTRACHARA@original-game/ERB/TIPS関係/TIPS.ERB:297		0	CALL TIPS_EXTRACHARA
original-game/ERB/TIPS関係/TIPS.ERB	TIPS関係	38	original-game/ERB/TIPS関係/TIPS.ERB:4:TIPS_MAIN	TIPS_MAIN	CALL	TIPS_PREGNANCY	TIPS_PREGNANCY	resolved	original-game/ERB/TIPS関係/TIPS.ERB:361:TIPS_PREGNANCY	TIPS_PREGNANCY@original-game/ERB/TIPS関係/TIPS.ERB:361		0	CALL TIPS_PREGNANCY
original-game/ERB/TIPS関係/TIPS.ERB	TIPS関係	40	original-game/ERB/TIPS関係/TIPS.ERB:4:TIPS_MAIN	TIPS_MAIN	CALL	TESTMODE	TESTMODE	resolved	original-game/ERB/TIPS関係/TESTMODE.ERB:1:TESTMODE	TESTMODE@original-game/ERB/TIPS関係/TESTMODE.ERB:1		0	CALL TESTMODE
